Epoch 0/19----------Train Loss: tensor(3.9097, device='cuda:0')
Train Loss: tensor(4.7265, device='cuda:0')
Train Loss: tensor(5.7405, device='cuda:0')
Train Loss: tensor(4.9244, device='cuda:0')
Train Loss: tensor(4.9988, device='cuda:0')
Train Loss: tensor(5.7639, device='cuda:0')
Train Loss: tensor(6.1543, device='cuda:0')
Train Loss: tensor(6.0921, device='cuda:0')
Train Loss: tensor(6.0254, device='cuda:0')
Train Loss: tensor(5.8196, device='cuda:0')
Train Loss: tensor(5.5877, device='cuda:0')
Train Loss: tensor(6.5270, device='cuda:0')
Train Loss: tensor(6.3079, device='cuda:0')
Train Loss: tensor(6.2368, device='cuda:0')
Train Loss: tensor(6.1082, device='cuda:0')
Train Loss: tensor(6.4822, device='cuda:0')
Train Loss: tensor(6.3581, device='cuda:0')
Train Loss: tensor(6.3153, device='cuda:0')
Train Loss: tensor(6.1967, device='cuda:0')
Train Loss: tensor(6.6482, device='cuda:0')
Train Loss: tensor(6.7424, device='cuda:0')
Train Loss: tensor(5.5920, device='cuda:0')
Train Loss: tensor(6.1970, device='cuda:0')
Train Loss: tensor(5.7284, device='cuda:0')
Train Loss: tensor(6.1768, device='cuda:0')
Train Loss: tensor(6.0477, device='cuda:0')
Train Loss: tensor(6.2030, device='cuda:0')
Train Loss: tensor(5.8002, device='cuda:0')
Train Loss: tensor(5.6576, device='cuda:0')
Train Loss: tensor(5.6718, device='cuda:0')
Train Loss: tensor(5.7072, device='cuda:0')
Train Loss: tensor(5.9416, device='cuda:0')
Train Loss: tensor(4.9338, device='cuda:0')
Train Loss: tensor(5.7047, device='cuda:0')
Train Loss: tensor(6.2934, device='cuda:0')
Train Loss: tensor(7.3795, device='cuda:0')
Train Loss: tensor(6.7289, device='cuda:0')
Train Loss: tensor(5.8570, device='cuda:0')
Train Loss: tensor(6.9554, device='cuda:0')
Train Loss: tensor(6.1550, device='cuda:0')
Train Loss: tensor(6.1469, device='cuda:0')
Train Loss: tensor(5.7539, device='cuda:0')
Train Loss: tensor(5.7739, device='cuda:0')
Train Loss: tensor(5.3918, device='cuda:0')
Train Loss: tensor(6.1063, device='cuda:0')
Train Loss: tensor(6.2121, device='cuda:0')
Train Loss: tensor(5.5556, device='cuda:0')
Train Loss: tensor(6.4952, device='cuda:0')
Train Loss: tensor(6.5749, device='cuda:0')
Train Loss: tensor(5.3503, device='cuda:0')
Train Loss: tensor(5.0072, device='cuda:0')
Train Loss: tensor(5.1826, device='cuda:0')
Train Loss: tensor(4.8922, device='cuda:0')
train Loss: 5.9026 Prec: 0.2000EPOCH complete in 3m 58sval Loss: 5.9620 Prec: 0.2524EPOCH complete in 5m 14sEpoch 1/19----------Train Loss: tensor(3.9258, device='cuda:0')
Train Loss: tensor(4.3636, device='cuda:0')
Train Loss: tensor(5.5069, device='cuda:0')
Train Loss: tensor(4.4307, device='cuda:0')
Train Loss: tensor(4.6442, device='cuda:0')
Train Loss: tensor(5.1189, device='cuda:0')
Train Loss: tensor(5.2548, device='cuda:0')
Train Loss: tensor(5.4268, device='cuda:0')
Train Loss: tensor(5.1561, device='cuda:0')
Train Loss: tensor(5.2354, device='cuda:0')
Train Loss: tensor(4.8908, device='cuda:0')
Train Loss: tensor(5.5124, device='cuda:0')
Train Loss: tensor(5.3572, device='cuda:0')
Train Loss: tensor(5.1967, device='cuda:0')
Train Loss: tensor(4.8773, device='cuda:0')
Train Loss: tensor(5.5536, device='cuda:0')
Train Loss: tensor(5.2012, device='cuda:0')
Train Loss: tensor(4.9280, device='cuda:0')
Train Loss: tensor(5.1342, device='cuda:0')
Train Loss: tensor(5.0216, device='cuda:0')
Train Loss: tensor(5.3342, device='cuda:0')
Train Loss: tensor(4.4942, device='cuda:0')
Train Loss: tensor(4.8390, device='cuda:0')
Train Loss: tensor(4.4337, device='cuda:0')
Train Loss: tensor(4.7169, device='cuda:0')
Train Loss: tensor(4.8341, device='cuda:0')
Train Loss: tensor(4.7912, device='cuda:0')
Train Loss: tensor(4.6341, device='cuda:0')
Train Loss: tensor(4.6002, device='cuda:0')
Train Loss: tensor(4.3039, device='cuda:0')
Train Loss: tensor(4.4241, device='cuda:0')
Train Loss: tensor(4.6649, device='cuda:0')
Train Loss: tensor(4.0369, device='cuda:0')
Train Loss: tensor(4.4733, device='cuda:0')
Train Loss: tensor(4.9101, device='cuda:0')
Train Loss: tensor(5.6296, device='cuda:0')
Train Loss: tensor(5.3789, device='cuda:0')
Train Loss: tensor(4.3431, device='cuda:0')
Train Loss: tensor(5.3265, device='cuda:0')
Train Loss: tensor(4.9371, device='cuda:0')
Train Loss: tensor(4.7983, device='cuda:0')
Train Loss: tensor(4.2739, device='cuda:0')
Train Loss: tensor(4.2689, device='cuda:0')
Train Loss: tensor(4.1403, device='cuda:0')
Train Loss: tensor(4.8057, device='cuda:0')
Train Loss: tensor(4.7350, device='cuda:0')
Train Loss: tensor(4.2415, device='cuda:0')
Train Loss: tensor(5.2385, device='cuda:0')
Train Loss: tensor(5.1269, device='cuda:0')
Train Loss: tensor(4.1364, device='cuda:0')
Train Loss: tensor(3.8914, device='cuda:0')
Train Loss: tensor(4.0134, device='cuda:0')
Train Loss: tensor(3.0142, device='cuda:0')
train Loss: 4.7647 Prec: 0.4915EPOCH complete in 8m 30sval Loss: 6.8786 Prec: 0.2778EPOCH complete in 9m 21sEpoch 2/19----------Train Loss: tensor(3.1774, device='cuda:0')
Train Loss: tensor(3.6095, device='cuda:0')
Train Loss: tensor(4.6560, device='cuda:0')
Train Loss: tensor(3.7318, device='cuda:0')
Train Loss: tensor(3.6683, device='cuda:0')
Train Loss: tensor(4.2720, device='cuda:0')
Train Loss: tensor(4.3513, device='cuda:0')
Train Loss: tensor(4.3963, device='cuda:0')
Train Loss: tensor(4.2595, device='cuda:0')
Train Loss: tensor(4.0036, device='cuda:0')
Train Loss: tensor(4.0231, device='cuda:0')
Train Loss: tensor(4.5809, device='cuda:0')
Train Loss: tensor(4.4980, device='cuda:0')
Train Loss: tensor(4.2753, device='cuda:0')
Train Loss: tensor(4.0740, device='cuda:0')
Train Loss: tensor(4.6662, device='cuda:0')
Train Loss: tensor(4.2438, device='cuda:0')
Train Loss: tensor(4.0142, device='cuda:0')
Train Loss: tensor(4.0206, device='cuda:0')
Train Loss: tensor(4.0139, device='cuda:0')
Train Loss: tensor(4.4540, device='cuda:0')
Train Loss: tensor(3.6429, device='cuda:0')
Train Loss: tensor(4.1989, device='cuda:0')
Train Loss: tensor(3.6621, device='cuda:0')
Train Loss: tensor(4.0524, device='cuda:0')
Train Loss: tensor(3.9376, device='cuda:0')
Train Loss: tensor(4.0719, device='cuda:0')
Train Loss: tensor(3.7492, device='cuda:0')
Train Loss: tensor(3.8087, device='cuda:0')
Train Loss: tensor(3.7006, device='cuda:0')
Train Loss: tensor(3.5983, device='cuda:0')
Train Loss: tensor(4.1850, device='cuda:0')
Train Loss: tensor(3.2879, device='cuda:0')
Train Loss: tensor(3.9274, device='cuda:0')
Train Loss: tensor(4.3613, device='cuda:0')
Train Loss: tensor(4.9877, device='cuda:0')
Train Loss: tensor(4.7588, device='cuda:0')
Train Loss: tensor(3.8120, device='cuda:0')
Train Loss: tensor(4.7380, device='cuda:0')
Train Loss: tensor(4.4992, device='cuda:0')
Train Loss: tensor(4.3646, device='cuda:0')
Train Loss: tensor(4.0114, device='cuda:0')
Train Loss: tensor(3.7352, device='cuda:0')
Train Loss: tensor(3.6589, device='cuda:0')
Train Loss: tensor(4.1688, device='cuda:0')
Train Loss: tensor(4.2980, device='cuda:0')
Train Loss: tensor(3.6705, device='cuda:0')
Train Loss: tensor(4.8029, device='cuda:0')
Train Loss: tensor(4.7060, device='cuda:0')
Train Loss: tensor(3.7701, device='cuda:0')
Train Loss: tensor(3.3843, device='cuda:0')
Train Loss: tensor(3.7545, device='cuda:0')
Train Loss: tensor(3.7520, device='cuda:0')
train Loss: 4.0764 Prec: 0.4684EPOCH complete in 12m 38sval Loss: 6.9968 Prec: 0.3399EPOCH complete in 13m 28sEpoch 3/19----------Train Loss: tensor(3.1606, device='cuda:0')
Train Loss: tensor(3.5334, device='cuda:0')
Train Loss: tensor(4.5694, device='cuda:0')
Train Loss: tensor(3.6499, device='cuda:0')
Train Loss: tensor(3.7719, device='cuda:0')
Train Loss: tensor(4.1312, device='cuda:0')
Train Loss: tensor(4.3349, device='cuda:0')
Train Loss: tensor(4.4690, device='cuda:0')
Train Loss: tensor(4.1984, device='cuda:0')
Train Loss: tensor(4.0877, device='cuda:0')
Train Loss: tensor(4.2493, device='cuda:0')
Train Loss: tensor(4.6452, device='cuda:0')
Train Loss: tensor(4.4826, device='cuda:0')
Train Loss: tensor(4.4491, device='cuda:0')
Train Loss: tensor(4.0726, device='cuda:0')
Train Loss: tensor(4.6101, device='cuda:0')
Train Loss: tensor(4.5727, device='cuda:0')
Train Loss: tensor(4.1802, device='cuda:0')
Train Loss: tensor(4.0621, device='cuda:0')
Train Loss: tensor(4.3567, device='cuda:0')
