Epoch 0/19----------Train Loss: tensor(6.4061, device='cuda:0')
Train Loss: tensor(7.3405, device='cuda:0')
Train Loss: tensor(8.3713, device='cuda:0')
Train Loss: tensor(7.2436, device='cuda:0')
Train Loss: tensor(7.2019, device='cuda:0')
Train Loss: tensor(7.9613, device='cuda:0')
Train Loss: tensor(7.9868, device='cuda:0')
Train Loss: tensor(7.9299, device='cuda:0')
Train Loss: tensor(7.7472, device='cuda:0')
Train Loss: tensor(7.4149, device='cuda:0')
Train Loss: tensor(7.7378, device='cuda:0')
Train Loss: tensor(8.2210, device='cuda:0')
Train Loss: tensor(8.2918, device='cuda:0')
Train Loss: tensor(7.8857, device='cuda:0')
Train Loss: tensor(7.7270, device='cuda:0')
Train Loss: tensor(8.3035, device='cuda:0')
Train Loss: tensor(7.9270, device='cuda:0')
Train Loss: tensor(7.6758, device='cuda:0')
Train Loss: tensor(7.6803, device='cuda:0')
Train Loss: tensor(8.0701, device='cuda:0')
Train Loss: tensor(8.0750, device='cuda:0')
Train Loss: tensor(7.1654, device='cuda:0')
Train Loss: tensor(8.0619, device='cuda:0')
Train Loss: tensor(7.4657, device='cuda:0')
Train Loss: tensor(7.7294, device='cuda:0')
Train Loss: tensor(7.8931, device='cuda:0')
Train Loss: tensor(7.7070, device='cuda:0')
Train Loss: tensor(7.2154, device='cuda:0')
Train Loss: tensor(7.4543, device='cuda:0')
Train Loss: tensor(7.3574, device='cuda:0')
Train Loss: tensor(7.1547, device='cuda:0')
Train Loss: tensor(7.6010, device='cuda:0')
Train Loss: tensor(6.5398, device='cuda:0')
Train Loss: tensor(7.2078, device='cuda:0')
Train Loss: tensor(7.7048, device='cuda:0')
Train Loss: tensor(8.6756, device='cuda:0')
Train Loss: tensor(8.1942, device='cuda:0')
Train Loss: tensor(7.2677, device='cuda:0')
Train Loss: tensor(8.3863, device='cuda:0')
Train Loss: tensor(7.6975, device='cuda:0')
Train Loss: tensor(7.8618, device='cuda:0')
Train Loss: tensor(6.9295, device='cuda:0')
Train Loss: tensor(7.2043, device='cuda:0')
Train Loss: tensor(6.7529, device='cuda:0')
Train Loss: tensor(7.3502, device='cuda:0')
Train Loss: tensor(7.4165, device='cuda:0')
Train Loss: tensor(6.9298, device='cuda:0')
Train Loss: tensor(8.0447, device='cuda:0')
Train Loss: tensor(7.8253, device='cuda:0')
Train Loss: tensor(6.6761, device='cuda:0')
Train Loss: tensor(5.8640, device='cuda:0')
Train Loss: tensor(6.2652, device='cuda:0')
Train Loss: tensor(5.8777, device='cuda:0')
train Loss: 7.5222 Prec: 0.0514EPOCH complete in 3m 39sval Loss: 6.9502 Prec: 0.1913EPOCH complete in 5m 2sEpoch 1/19----------Train Loss: tensor(5.4580, device='cuda:0')
Train Loss: tensor(6.3486, device='cuda:0')
Train Loss: tensor(7.3326, device='cuda:0')
Train Loss: tensor(6.4177, device='cuda:0')
Train Loss: tensor(6.3675, device='cuda:0')
Train Loss: tensor(7.1109, device='cuda:0')
Train Loss: tensor(7.1123, device='cuda:0')
Train Loss: tensor(7.1356, device='cuda:0')
Train Loss: tensor(6.9640, device='cuda:0')
Train Loss: tensor(6.6625, device='cuda:0')
Train Loss: tensor(6.8601, device='cuda:0')
Train Loss: tensor(7.4264, device='cuda:0')
Train Loss: tensor(7.4723, device='cuda:0')
Train Loss: tensor(7.1032, device='cuda:0')
Train Loss: tensor(6.9287, device='cuda:0')
Train Loss: tensor(7.5152, device='cuda:0')
Train Loss: tensor(7.1509, device='cuda:0')
Train Loss: tensor(6.9338, device='cuda:0')
Train Loss: tensor(7.0047, device='cuda:0')
Train Loss: tensor(7.4017, device='cuda:0')
Train Loss: tensor(7.4026, device='cuda:0')
Train Loss: tensor(6.4657, device='cuda:0')
Train Loss: tensor(7.3690, device='cuda:0')
Train Loss: tensor(6.7421, device='cuda:0')
Train Loss: tensor(7.0015, device='cuda:0')
Train Loss: tensor(7.1822, device='cuda:0')
Train Loss: tensor(6.9773, device='cuda:0')
Train Loss: tensor(6.5914, device='cuda:0')
Train Loss: tensor(6.6929, device='cuda:0')
Train Loss: tensor(6.6992, device='cuda:0')
Train Loss: tensor(6.5245, device='cuda:0')
Train Loss: tensor(6.8649, device='cuda:0')
Train Loss: tensor(5.8915, device='cuda:0')
Train Loss: tensor(6.5376, device='cuda:0')
Train Loss: tensor(7.0659, device='cuda:0')
Train Loss: tensor(8.0449, device='cuda:0')
Train Loss: tensor(7.5124, device='cuda:0')
Train Loss: tensor(6.5780, device='cuda:0')
Train Loss: tensor(7.6713, device='cuda:0')
Train Loss: tensor(7.1003, device='cuda:0')
Train Loss: tensor(7.1943, device='cuda:0')
Train Loss: tensor(6.2635, device='cuda:0')
Train Loss: tensor(6.5689, device='cuda:0')
Train Loss: tensor(6.1570, device='cuda:0')
Train Loss: tensor(6.7233, device='cuda:0')
Train Loss: tensor(6.7904, device='cuda:0')
Train Loss: tensor(6.3506, device='cuda:0')
Train Loss: tensor(7.4211, device='cuda:0')
Train Loss: tensor(7.2190, device='cuda:0')
Train Loss: tensor(6.0900, device='cuda:0')
Train Loss: tensor(5.3845, device='cuda:0')
Train Loss: tensor(5.7337, device='cuda:0')
Train Loss: tensor(5.1471, device='cuda:0')
train Loss: 6.8050 Prec: 0.1713EPOCH complete in 8m 48sval Loss: 6.5101 Prec: 0.2381EPOCH complete in 9m 42sEpoch 2/19----------Train Loss: tensor(4.9869, device='cuda:0')
Train Loss: tensor(5.8096, device='cuda:0')
Train Loss: tensor(6.7657, device='cuda:0')
Train Loss: tensor(5.9300, device='cuda:0')
Train Loss: tensor(5.8515, device='cuda:0')
Train Loss: tensor(6.5953, device='cuda:0')
Train Loss: tensor(6.5667, device='cuda:0')
Train Loss: tensor(6.6477, device='cuda:0')
Train Loss: tensor(6.4541, device='cuda:0')
Train Loss: tensor(6.2156, device='cuda:0')
Train Loss: tensor(6.2993, device='cuda:0')
Train Loss: tensor(6.9305, device='cuda:0')
Train Loss: tensor(6.9169, device='cuda:0')
Train Loss: tensor(6.6050, device='cuda:0')
Train Loss: tensor(6.3957, device='cuda:0')
Train Loss: tensor(7.0003, device='cuda:0')
Train Loss: tensor(6.6358, device='cuda:0')
Train Loss: tensor(6.4405, device='cuda:0')
Train Loss: tensor(6.5533, device='cuda:0')
Train Loss: tensor(6.9398, device='cuda:0')
Train Loss: tensor(6.9575, device='cuda:0')
Train Loss: tensor(5.9860, device='cuda:0')
Train Loss: tensor(6.8890, device='cuda:0')
Train Loss: tensor(6.2540, device='cuda:0')
Train Loss: tensor(6.5316, device='cuda:0')
Train Loss: tensor(6.6861, device='cuda:0')
Train Loss: tensor(6.4921, device='cuda:0')
Train Loss: tensor(6.2003, device='cuda:0')
Train Loss: tensor(6.1979, device='cuda:0')
Train Loss: tensor(6.2460, device='cuda:0')
Train Loss: tensor(6.0846, device='cuda:0')
Train Loss: tensor(6.3865, device='cuda:0')
Train Loss: tensor(5.4721, device='cuda:0')
Train Loss: tensor(6.0912, device='cuda:0')
Train Loss: tensor(6.6371, device='cuda:0')
Train Loss: tensor(7.6214, device='cuda:0')
Train Loss: tensor(7.0736, device='cuda:0')
Train Loss: tensor(6.1272, device='cuda:0')
Train Loss: tensor(7.1763, device='cuda:0')
Train Loss: tensor(6.6839, device='cuda:0')
Train Loss: tensor(6.7467, device='cuda:0')
Train Loss: tensor(5.8285, device='cuda:0')
Train Loss: tensor(6.1336, device='cuda:0')
Train Loss: tensor(5.7455, device='cuda:0')
Train Loss: tensor(6.3307, device='cuda:0')
Train Loss: tensor(6.3574, device='cuda:0')
Train Loss: tensor(5.9528, device='cuda:0')
Train Loss: tensor(6.9865, device='cuda:0')
Train Loss: tensor(6.8057, device='cuda:0')
Train Loss: tensor(5.6950, device='cuda:0')
Train Loss: tensor(5.0867, device='cuda:0')
Train Loss: tensor(5.3748, device='cuda:0')
Train Loss: tensor(4.6658, device='cuda:0')
train Loss: 6.3405 Prec: 0.1835EPOCH complete in 13m 8sval Loss: 6.2297 Prec: 0.2233EPOCH complete in 13m 60sEpoch 3/19----------Train Loss: tensor(4.6863, device='cuda:0')
Train Loss: tensor(5.4372, device='cuda:0')
Train Loss: tensor(6.3796, device='cuda:0')
Train Loss: tensor(5.5720, device='cuda:0')
Train Loss: tensor(5.5030, device='cuda:0')
Train Loss: tensor(6.2328, device='cuda:0')
Train Loss: tensor(6.1878, device='cuda:0')
Train Loss: tensor(6.2942, device='cuda:0')
